"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","purine ribonucleotide binding","GO:0032555","2.538548807264855e-22","21.595414482240848","1965","285","88","21091","PYGL,RARS,MYH9,MAP2K2,VARS,ECI2,KARS,ACLY,PXK,GVIN1,GK,HSPH1,HSPA4,SCP2,HSP90AB1,HACL1,FBP1,ACSL5,CPS1,HSPA8,PAPSS2,GBP2,ACSL1,MYO1C,ASS1,MTHFD1,EPRS,IDE,SHPK,IFIH1,CTPS2,ACTR3,GSK3A,PKM,MYO1B,TAP1,GART,KIF5B,HSP90AA1,IIGP1,FARSB,DDX3X,ABCE1,MTOR,CCT6A,PGK1,IARS,OASL2,IKBKE,NAIP2,DYNC1H1,DARS,OAS3,ACACA,UBA1,ACTB,GSS,HSPA4L,PCK1,GBP5,DDX58,ADK,NSF,LARS,CCT5,HSPA1A,PFKL,TCP1,ILK,NARS,SAMHD1,ATP6V1B2,ACTR2,EEF2,PITPNA,GLUL,DHX9,PFAS,HSPD1,TGM2,EEF1A1,PFKP,UBE4B,PAK2,IRGM1,CCT7,HSPA9,CTPS1"
"GO:MF","adenyl ribonucleotide binding","GO:0032559","9.403243552084537e-22","21.026722315145694","1589","285","78","21091","PYGL,RARS,MYH9,MAP2K2,VARS,ECI2,KARS,ACLY,PXK,GK,HSPH1,HSPA4,SCP2,HSP90AB1,HACL1,FBP1,ACSL5,CPS1,HSPA8,PAPSS2,ACSL1,MYO1C,ASS1,MTHFD1,EPRS,IDE,SHPK,IFIH1,CTPS2,ACTR3,GSK3A,PKM,MYO1B,TAP1,GART,KIF5B,HSP90AA1,FARSB,DDX3X,ABCE1,MTOR,CCT6A,PGK1,IARS,OASL2,IKBKE,NAIP2,DYNC1H1,DARS,OAS3,ACACA,UBA1,ACTB,GSS,HSPA4L,DDX58,ADK,NSF,LARS,CCT5,HSPA1A,PFKL,TCP1,ILK,NARS,ATP6V1B2,ACTR2,PITPNA,GLUL,DHX9,PFAS,HSPD1,PFKP,UBE4B,PAK2,CCT7,HSPA9,CTPS1"
"GO:MF","purine ribonucleoside triphosphate binding","GO:0035639","6.078427055527225e-21","20.216208790708276","1885","285","84","21091","PYGL,RARS,MYH9,MAP2K2,VARS,KARS,ACLY,PXK,GVIN1,GK,HSPH1,HSPA4,HSP90AB1,HACL1,ACSL5,CPS1,HSPA8,PAPSS2,GBP2,ACSL1,MYO1C,ASS1,MTHFD1,EPRS,IDE,SHPK,IFIH1,CTPS2,ACTR3,GSK3A,PKM,MYO1B,TAP1,GART,KIF5B,HSP90AA1,IIGP1,FARSB,DDX3X,ABCE1,MTOR,CCT6A,PGK1,IARS,OASL2,IKBKE,NAIP2,DYNC1H1,DARS,OAS3,ACACA,UBA1,ACTB,GSS,HSPA4L,PCK1,GBP5,DDX58,ADK,NSF,LARS,CCT5,HSPA1A,PFKL,TCP1,ILK,NARS,SAMHD1,ATP6V1B2,ACTR2,EEF2,GLUL,DHX9,PFAS,HSPD1,TGM2,EEF1A1,PFKP,UBE4B,PAK2,IRGM1,CCT7,HSPA9,CTPS1"
"GO:MF","ATP binding","GO:0005524","3.12170799818868e-20","19.505607722896357","1519","285","74","21091","PYGL,RARS,MYH9,MAP2K2,VARS,KARS,ACLY,PXK,GK,HSPH1,HSPA4,HSP90AB1,HACL1,ACSL5,CPS1,HSPA8,PAPSS2,ACSL1,MYO1C,ASS1,MTHFD1,EPRS,IDE,SHPK,IFIH1,CTPS2,ACTR3,GSK3A,PKM,MYO1B,TAP1,GART,KIF5B,HSP90AA1,FARSB,DDX3X,ABCE1,MTOR,CCT6A,PGK1,IARS,OASL2,IKBKE,NAIP2,DYNC1H1,DARS,OAS3,ACACA,UBA1,ACTB,GSS,HSPA4L,DDX58,ADK,NSF,LARS,CCT5,HSPA1A,PFKL,TCP1,ILK,NARS,ATP6V1B2,ACTR2,GLUL,DHX9,PFAS,HSPD1,PFKP,UBE4B,PAK2,CCT7,HSPA9,CTPS1"
"GO:MF","oxidoreductase activity","GO:0016491","1.5322714666160097e-19","18.814664285611308","831","285","54","21091","ME1,PIPOX,ALDH1L1,FASN,CBS,PRDX1,SELENBP1,ACOX1,UOX,CAT,GAPDH,IDH1,EHHADH,MTHFD1,MAOB,ACAD11,SORD,HSD17B4,CYP2D10,AOX3,FMO1,ALDH9A1,XDH,ACOX2,ASPDH,CRAT,CYP17A1,PGK1,AKR1A1,ACOX3,ALDH7A1,ACAA1A,PHYH,ADH5,HAO1,GSTK1,ALDH8A1,HSDL2,GSTP1,LDHA,CRYZL1,CBR1,ALDH2,UGDH,AOX1,IDH3A,PRDX6,PECR,HPD,MDH1,HGD,PYCRL,ALDH1A7,MGST1"
"GO:MF","carbohydrate derivative binding","GO:0097367","1.707228098131e-19","18.767708450096958","2296","285","91","21091","PYGL,RARS,MYH9,MAP2K2,VARS,ECI2,KARS,ACLY,PXK,GVIN1,GK,HSPH1,HSPA4,SCP2,HSP90AB1,HACL1,FBP1,ACSL5,CPS1,HSPA8,PAPSS2,GBP2,ACSL1,MYO1C,ASS1,MTHFD1,EPRS,IDE,SHPK,IFIH1,CTPS2,ACTR3,GSK3A,PKM,MYO1B,TAP1,GART,KIF5B,HSP90AA1,IIGP1,FARSB,DDX3X,ABCE1,MTOR,CCT6A,PGK1,IARS,OASL2,IKBKE,NAIP2,DYNC1H1,ST13,DARS,OAS3,ACACA,UBA1,ACTB,GSS,HSPA4L,PCK1,GBP5,DDX58,ADK,NSF,HAO1,LARS,CCT5,HSPA1A,PFKL,TCP1,ILK,NARS,SAMHD1,ATP6V1B2,ACTR2,EEF2,ACTN4,PITPNA,GLUL,DHX9,PFAS,HSPD1,TGM2,EEF1A1,PFKP,UBE4B,PAK2,IRGM1,CCT7,HSPA9,CTPS1"
"GO:MF","heterocyclic compound binding","GO:1901363","8.2894527247938925e-19","18.08147414091508","5801","285","154","21091","PYGL,RARS,MYH9,STAT1,MAP2K2,VARS,ECI2,KARS,ACLY,CTH,PXK,GVIN1,GK,HSPH1,HSPA4,SCP2,RPL7A,HSP90AB1,ME1,HACL1,FBP1,ACSL5,CPS1,HSPA8,AHCY,PAPSS2,CBS,TAT,SND1,PRDX1,GBP2,ACSL1,ACO1,MYO1C,ACOX1,CAT,GAPDH,ASS1,IDH1,NAMPT,MTHFD1,EPRS,MAOB,ACAD11,SORD,TNFAIP3,RPS3A,NACA,TKT,CYP2D10,AOX3,IDE,SHPK,SDS,IFIH1,CTPS2,FMO1,ENO1,EIF3A,GOT1,ACTR3,GSK3A,PKM,MYO1B,TAP1,RPLP0,FAM120A,GART,KIF5B,ZCCHC6,HSP90AA1,IIGP1,VDAC1,CLUH,XDH,FARSB,ACOX2,ASPDH,ATXN2L,DDX3X,ABCE1,RPL12,MTOR,CCT6A,CYP17A1,PGK1,IARS,OASL2,IKBKE,NAIP2,DYNC1H1,ACOX3,EEF1G,ST13,DARS,OAS3,IFIT1,ACACA,UBA1,ACTB,GSS,HSPA4L,STAT3,ANXA1,PCK1,DPYS,GBP5,DDX58,RPS6,ADK,NSF,HAO1,ZBP1,LARS,CCT5,OAT,HSPA1A,PFKL,TCP1,LDHA,EIF3D,ILK,COPA,NARS,SAMHD1,XRN1,ATP6V1B2,ACTR2,EEF2,ACTN4,PITPNA,ALDH2,GLUL,UGDH,DHX9,AOX1,IDH3A,VDAC3,PFAS,HSPD1,TGM2,EEF1A1,PFKP,UBE4B,KYNU,ZNFX1,PAK2,IFIT3,IRGM1,CCT7,HSPA9,MDH1,RPL4,CTPS1"
"GO:MF","organic cyclic compound binding","GO:0097159","1.691093301964755e-18","17.77183243059823","5903","285","155","21091","PYGL,RARS,MYH9,STAT1,MAP2K2,VARS,ECI2,KARS,ACLY,CTH,PXK,GVIN1,GK,HSPH1,HSPA4,SCP2,RPL7A,HSP90AB1,ME1,HACL1,FBP1,ACSL5,CPS1,HSPA8,AHCY,PAPSS2,CBS,TAT,SND1,PRDX1,GBP2,ACSL1,ACO1,MYO1C,ACOX1,CAT,GAPDH,ASS1,IDH1,NAMPT,MTHFD1,EPRS,MAOB,ACAD11,SORD,TNFAIP3,RPS3A,NACA,TKT,CYP2D10,AOX3,IDE,SHPK,SDS,IFIH1,CTPS2,FMO1,ENO1,EIF3A,GOT1,ACTR3,GSK3A,PKM,MYO1B,TAP1,RPLP0,FAM120A,GART,KIF5B,ZCCHC6,HSP90AA1,IIGP1,VDAC1,CLUH,XDH,FARSB,ACOX2,ASPDH,ATXN2L,DDX3X,ABCE1,RPL12,MTOR,CCT6A,CYP17A1,PGK1,IARS,OASL2,IKBKE,NAIP2,DYNC1H1,ACOX3,EEF1G,ST13,DARS,OAS3,IFIT1,ACACA,UBA1,ACTB,GSS,HSPA4L,STAT3,ANXA1,PCK1,DPYS,GBP5,DDX58,RPS6,ADK,NSF,HAO1,ZBP1,LARS,CCT5,OAT,HSPA1A,PFKL,TCP1,LDHA,EIF3D,ILK,COPA,NARS,SAMHD1,OSBP,XRN1,ATP6V1B2,ACTR2,EEF2,ACTN4,PITPNA,ALDH2,GLUL,UGDH,DHX9,AOX1,IDH3A,VDAC3,PFAS,HSPD1,TGM2,EEF1A1,PFKP,UBE4B,KYNU,ZNFX1,PAK2,IFIT3,IRGM1,CCT7,HSPA9,MDH1,RPL4,CTPS1"
"GO:MF","ligase activity","GO:0016874","8.470453356787232e-13","12.072093344677329","173","285","22","21091","RARS,VARS,KARS,ACSL5,CPS1,ACSL1,ASS1,MTHFD1,EPRS,CTPS2,GART,FARSB,IARS,DARS,ACACA,UBA1,GSS,LARS,NARS,GLUL,PFAS,CTPS1"
"GO:MF","binding","GO:0005488","3.2678351453349224e-10","9.48573986073119","15044","285","253","21091","RNF213,PYGL,RARS,MYH9,STAT1,MAP2K2,RPS27A,VARS,ECI2,KARS,ACLY,CTH,EPPK1,HEATR5B,PXK,GVIN1,MYOF,GK,HSPH1,HSPA4,RANBP9,PPP3CC,SCP2,RPL7A,HSP90AB1,UBB,ME1,HACL1,FBP1,ASL,ALDH1L1,ACSL5,CPS1,ARG1,HSPA8,AHCY,PAPSS2,FASN,CBS,TAT,SND1,PRDX1,ALDOA,GBP2,HGS,GLS2,ACSL1,SELENBP1,ACO1,MYO1C,GDA,ESD,ACOX1,SEC14L2,ALDOB,EPHX2,CAT,GAPDH,ASS1,KRT8,GPI,H2-K1,IDH1,SPATA13,EHHADH,PGM1,NAMPT,TALDO1,MTHFD1,UPB1,EPRS,MAOB,ACAD11,SORD,ISG15,TNFAIP3,SEC31A,USP19,RPS3A,NACA,HSD17B4,TKT,CYP2D10,AOX3,ATOX1,IDE,SHPK,SDS,IFIH1,CTPS2,FMO1,ENO1,EIF3A,BHMT,GOT1,SERPINB1A,PGM3,ACTR3,GSK3A,PKM,MYO1B,METAP2,DPP9,TAP1,RPLP0,FNDC3A,FAM120A,GART,KIF5B,ZCCHC6,CAP1,HSP90AA1,AMACR,IIGP1,EEF1E1,VDAC1,CLUH,XDH,FARSB,ACOX2,ASPDH,SETD3,ATXN2L,UBR2,DDX3X,CPT1A,ABCE1,RPL12,MTOR,CCT6A,GAPVD1,CYP17A1,PGK1,ANAPC7,WDR61,PPP2CA,IARS,OASL2,IKBKE,NAIP2,DYNC1H1,ACOX3,PGAM1,ALDH7A1,EEF1G,PPA1,GBE1,ST13,DARS,OAS3,AIMP2,TRIM56,IFIT1,ACACA,ESYT1,UBA1,ACTB,GSS,HSPA4L,STAT3,SPTAN1,S100A6,ANXA1,IKBKG,PHYH,CLTA,PCK1,CLIC1,DPYS,GBP5,DDX58,RPS6,ADK,NSF,ADH5,HAO1,ZBP1,GSTK1,LAP3,SMARCD2,SDSL,ELMO3,LARS,WIPI2,IQGAP2,CCT5,PAFAH1B1,SLC25A5,OAT,GSTP1,TPI1,HSPA1A,RPSA,PFKL,TCP1,LDHA,EIF3D,ILK,CKAP5,ATIC,ARPC5,COPA,NARS,SNX6,SAMHD1,OSBP,XRN1,ATP6V1B2,ACTR2,EEF2,ACTN4,PITPNA,ALDH2,AP2A2,GLUL,WDR1,UGDH,DHX9,AOX1,IDH3A,CCAR2,VDAC3,PFAS,HSPD1,PITPNB,CTNND1,PTPN6,TGM2,EEF1A1,ANXA2,CAPN1,DNPEP,PFKP,UBE4B,KYNU,PECR,ZNFX1,PAK2,IFIT3,IRGM1,CCT7,VBP1,HPD,HSPA9,MDH1,SAA3,HGD,PYCRL,RPL4,PICALM,MGST1,CTPS1,USP5"
"GO:MF","carboxylic acid binding","GO:0031406","3.433621605160084e-10","9.464247567021841","207","285","21","21091","PYGL,RARS,KARS,SCP2,CPS1,TAT,ACOX1,ASS1,GOT1,ACOX2,UBR2,ACOX3,ACACA,GSS,PHYH,PCK1,DPYS,ADH5,GSTP1,PITPNA,GLUL"
